項次,國別,年別,類別,總生育率(人),資料說明,資料來源
33,日本,2025,中推估,1.42,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
34,日本,2030,中推估,1.43,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
35,日本,2035,中推估,1.43,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
36,日本,2040,中推估,1.43,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
37,日本,2045,中推估,1.44,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
38,日本,2050,中推估,1.44,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
39,日本,2055,中推估,1.44,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
40,日本,2060,中推估,1.44,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
41,日本,2065,中推估,1.44,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
42,日本,2070,中推估,-,-,國立社會保障人口問題研究所，「日本の将来推計人口」（平成29年推計）
43,韓國,1970,實際,4.53,-,National Statistical Information Service網站，下載於2020年5月
44,韓國,1975,實際,3.43,-,National Statistical Information Service網站，下載於2020年5月
45,韓國,1980,實際,2.82,-,National Statistical Information Service網站，下載於2020年5月
46,韓國,1985,實際,1.66,-,National Statistical Information Service網站，下載於2020年5月
47,韓國,1990,實際,1.57,-,National Statistical Information Service網站，下載於2020年5月
48,韓國,1995,實際,1.63,-,National Statistical Information Service網站，下載於2020年5月
49,韓國,2000,實際,1.48,-,National Statistical Information Service網站，下載於2020年5月
50,韓國,2005,實際,1.09,-,National Statistical Information Service網站，下載於2020年5月
51,韓國,2010,實際,1.23,-,National Statistical Information Service網站，下載於2020年5月
52,韓國,2015,實際,1.24,-,National Statistical Information Service網站，下載於2020年5月
53,韓國,2020,中推估,0.9,-,National Statistical Information Service網站，下載於2020年5月
54,韓國,2025,中推估,1,-,National Statistical Information Service網站，下載於2020年5月
55,韓國,2030,中推估,1.14,-,National Statistical Information Service網站，下載於2020年5月
56,韓國,2035,中推估,1.22,-,National Statistical Information Service網站，下載於2020年5月
57,韓國,2040,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
58,韓國,2045,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
59,韓國,2050,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
60,韓國,2055,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
61,韓國,2060,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
62,韓國,2065,中推估,1.27,-,National Statistical Information Service網站，下載於2020年5月
63,韓國,2070,中推估,-,-,National Statistical Information Service網站，下載於2020年5月
64,美國,1970,實際,2.48,-,"U.S. Census Bureau網站, 下載於2020年7月"
65,美國,1975,實際,1.77,-,"U.S. Census Bureau網站, 下載於2020年7月"
66,美國,1980,實際,1.84,-,"U.S. Census Bureau網站, 下載於2020年7月"
67,美國,1985,實際,1.84,-,"U.S. Census Bureau網站, 下載於2020年7月"
68,美國,1990,實際,2.08,-,"U.S. Census Bureau網站, 下載於2020年7月"
69,美國,1995,實際,1.98,-,"U.S. Census Bureau網站, 下載於2020年7月"
